C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_28_973.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_28_973.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_28_973.jpg,0,0,0,1.097952E-05
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_015.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_015.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_015.jpg,0,0,0,8.463418E-06
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_097.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_097.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_097.jpg,0,0,0,2.434924E-06
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_167.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_167.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_167.jpg,0,0,0,1.896541E-05
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_246.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_246.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_246.jpg,0,0,0,9.880271E-06
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_326.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_326.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_326.jpg,0,0,0,2.718418E-06
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_408.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_408.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_408.jpg,0,0,0,1.496967E-05
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_487.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_487.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_487.jpg,0,0.0620739,0,0.02904641
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_564.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_564.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_564.jpg,0,0.2910561,0,0.1344229
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_645.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_645.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_645.jpg,0,0.5383923,0,0.5702176
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_723.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_723.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_723.jpg,0,0.7722924,0,1.146691
C:\Users\Rohith\Desktop\IMG\center_2020_04_30_20_02_29_800.jpg,C:\Users\Rohith\Desktop\IMG\left_2020_04_30_20_02_29_800.jpg,C:\Users\Rohith\Desktop\IMG\right_2020_04_30_20_02_29_800.jpg,0,1,0,1.953255
